run_id,validation_gate,t,association_count,update_applied
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,441.939,9.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,442.139,10.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,442.33900000000006,9.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,442.53900000000004,9.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,442.73900000000003,9.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,442.939,8.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,443.139,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,443.33900000000006,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,443.53900000000004,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,443.73900000000003,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,443.939,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,444.139,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,444.33900000000006,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,444.53900000000004,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,444.73900000000003,6.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,444.939,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,445.139,6.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,445.33900000000006,6.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,445.53900000000004,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,445.73900000000003,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,445.939,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,446.139,6.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,446.33900000000006,6.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,446.53900000000004,6.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,446.73900000000003,6.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,446.939,8.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,447.139,7.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,447.33900000000006,6.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,447.53900000000004,6.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,447.73900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,447.939,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,448.139,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,448.33900000000006,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,448.53900000000004,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,448.73900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,448.939,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,449.139,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,449.33900000000006,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,449.53900000000004,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,449.73900000000003,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,449.939,5.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,450.139,4.0,1.0
hw4_b_ekf_corrected_gate_3p0_20260623_013246,3.0,450.33900000000006,4.0,1.0
